Date,tick,1s,5s,10s,15s,20s,30s,45s,1min,2min,3min,4min,5min,6min,7min,8min,9min,10min,15min,20min,30min
20150102,0.0006364428989434455,0.00031993776537598997,0.0002656882291696582,0.00028490536895685184,0.00026362445653055816,0.00025210154026644374,0.00028103360692261907,0.0002626900247301275,0.0002755649202380552,0.00030212327721084814,0.0003195515370473077,0.0003370805347139763,0.00042159510535755165,0.00027939833932104374,0.0004007303341519986,0.0004191320028563661,0.00039574742988297834,0.00031094275891989603,0.0004518436081479707,0.00030021839856351226,0.0004228065164105769
20150105,0.0006294944193413199,0.00030868496018990224,0.0002687104637538165,0.00026461606667029473,0.0002771536884826582,0.00026987676022496767,0.00028020717089584905,0.00025261380741587174,0.00027807335648324087,0.0002712426497939102,0.00023009620034328908,0.00029762565341368854,0.00032345235951449885,0.0001685851508400194,0.00018327079566304852,0.00020181590914583497,0.0001614605885392871,0.00018285915882956783,0.00017021089816973028,0.00014170019207219168,0.0001769178680354792
20150106,0.000800452671562577,0.00045318968373049307,0.0004044246793137739,0.00039910616653298357,0.0003840583316476575,0.00039011462024516035,0.00038373469791236705,0.0003360721010831158,0.00037702999415455195,0.00038895340294207206,0.00039337667520593627,0.0004124498241029271,0.0004742183194299169,0.0004381626831248908,0.0005175275048697921,0.0005409389958181404,0.00042632216953021265,0.0005120398747785886,0.0006084163353173666,0.0005116854542815024,0.0007351947931041549
20150107,0.00043924826085103944,0.00029833403832350857,0.0002721009905801792,0.0002412400642244956,0.00024094634603368187,0.00022829415078975067,0.0002190046283557971,0.00021348019031275497,0.00021178858639109955,0.00021579401278405745,0.00020419175997228838,0.0001446285877956458,0.0001569675803653618,0.0001122746579274801,0.00014297031869090753,0.0001297669239999727,0.00011169670078408837,9.877967598144458e-05,0.00010737289086585788,9.246522865581659e-05,0.00013477896992372638
20150108,0.00046596676332142886,0.00019265418882963298,0.000146776606060562,0.0001361742996044309,0.00013356754602181605,0.00012672304449872068,0.00012713520519989707,0.00012625436993424644,0.00013670461177481296,0.0001390928721008907,0.00014563572766400072,0.00013823857924683753,0.00012929653558805743,0.0001499745928937799,0.00016430954130802235,0.00017345691960423952,0.00014314515413472106,0.00011674918755235231,0.00016057482205374384,0.0001419988098535086,0.00015500327379078518
20150109,0.0005074322507959674,0.00031891377543430557,0.00025839987142548405,0.0002434802645517932,0.00021889135383861753,0.0002256144731023236,0.0002122112795898043,0.0002553409338374212,0.00023253082274640225,0.0002731862852849538,0.00023996893042462733,0.00022117751436990867,0.00027462934756604753,0.00020535993791854598,0.00016652537154590848,0.00023410055213200426,0.00025366891127151834,0.0002306173151930377,0.0003650236961210111,0.0001946576007869146,0.0001259919266354518
20150112,0.0005047150562727865,0.0003040186761680881,0.0002643840352401971,0.0002761801489960992,0.0002578840309158772,0.000268730333375608,0.00026527199275044264,0.00025073599182685294,0.0002591407534674636,0.0002745839343212934,0.0003026251602216548,0.0002856475560297736,0.00028853336747913284,0.00032779118693441035,0.0002889754487508537,0.00026732661131591,0.00037897474443900623,0.00033277710489184285,0.00037332727934152524,0.0003118812333668201,0.0005400479932005582
20150113,0.0006018117184292036,0.0003101473567297973,0.00028243463237570223,0.00027004519767687574,0.0002675842341659384,0.00026588322758592094,0.0002556240977905199,0.0002249991867420417,0.0002355281324532442,0.0002637515646919872,0.00026200976406339735,0.0002474809762765695,0.00030013846282590274,0.00029974824911445104,0.00029875568749851444,0.00021548753546456043,0.00025188465407758757,0.00029669892873539444,0.00033413947475507846,0.0003593489931121276,0.0001806558140804051
20150114,0.0005775850522541583,0.00039997048465054716,0.0003376772094433106,0.0003225799560469157,0.0002960609261335484,0.0003055945099841886,0.0002978117448067688,0.0002949890115579919,0.0003134557396578942,0.0003019836297487444,0.000298692518855254,0.0002689909155088266,0.00026945026673838823,0.00024879758787951854,0.00017144223642603842,0.0002616937888091919,0.00031408139340666355,0.000237432181635048,0.00038224385147915475,0.00022093952338304425,0.00021032708631545628
20150115,0.0006301944990387533,0.0003824470890155659,0.0003506418975940763,0.0003315571239581765,0.0003286806639152577,0.00031880174202930265,0.00032267161163826924,0.00030666720241559703,0.0003279034537543985,0.00028385048396044164,0.0002601930217578236,0.00027160561669579617,0.00031900012145201116,0.0003350284314426602,0.0002464206489805705,0.0002471670317440897,0.0002662494887339515,0.0003018579601739541,0.0004092103309654071,0.00042900829028535883,0.000634198574019529
20150116,0.0005319664082923337,0.0002755582775401996,0.00022484673777895428,0.000227064821788737,0.0002289018754584349,0.0002195591254078863,0.0002395711108363854,0.00023327725368059102,0.00025231176758521177,0.00022829329796598765,0.00025785287943228794,0.00022972476931030998,0.000213336544304447,0.00022896682114203825,0.0002671101417034501,0.00023866848979967604,0.0002734685253152763,0.00018838566437575578,0.00020169635517435638,0.00017073293642978874,0.00020330574161711156
20150120,0.0004583371489589182,0.00027646826694913444,0.0002625066377688911,0.00024808099884484497,0.0002479254269052026,0.00023853790688181534,0.00023572072260340295,0.0002316289599758818,0.00021341066712226312,0.0001822416926550546,0.0001903240842561498,0.00015558863013736057,0.00017179777602463616,0.0001546520346231131,0.000122621617307316,0.00012954288164731092,0.0001471086594068855,0.00017880091947708267,0.00010658965692720758,9.793041787695585e-05,0.00011917897778606302
